City_ID,City,Country,Max Temp,Description,Lat,lng,Hotel Name
226,Tual,ID,83.08,overcast clouds,-5.6667,132.75,Suita
227,Labuhan,ID,86.61,overcast clouds,-6.8844,112.2051,No hotel found
228,Barranca,PE,76.26,broken clouds,-10.75,-77.7667,Emperador
229,Sinnamary,GF,75.4,few clouds,5.3833,-52.95,Hôtel du fleuve
234,Bathsheba,BB,77.61,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
235,Kandrian,PG,82.33,light rain,-6.2167,149.55,No hotel found
236,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.0833,Pebbles Inn
241,Tiarei,PF,82.42,overcast clouds,-17.5333,-149.3333,No hotel found
242,Ambilobe,MG,81.48,overcast clouds,-13.2,49.05,Hôtel National
245,Ghanzi,BW,70.3,broken clouds,-21.5667,21.7833,Ghanzi farmhouse
249,Orapa,BW,72.48,clear sky,-21.2833,25.3667,No hotel found
254,Adrar,MR,75.18,overcast clouds,20.5022,-10.0711,No hotel found
261,Marawi,PH,77.38,broken clouds,7.9986,124.2928,Marawi Resort Hotel
262,Richards Bay,ZA,74.8,scattered clouds,-28.783,32.0377,Protea Hotel
265,Chandrapur,IN,76.28,overcast clouds,19.95,79.3,hotel girnar
266,Ouesso,CG,73.63,scattered clouds,1.6136,16.0517,Auberge Nianina
269,Ibra,OM,81.14,broken clouds,22.6906,58.5334,الدكيك
270,Kavieng,PG,77.95,moderate rain,-2.5744,150.7967,Kavieng Hotel
271,Denpasar,ID,87.46,few clouds,-8.65,115.2167,Hotel Candra Adiguna
275,Mogadishu,SO,85.87,scattered clouds,2.0371,45.3438,Villa Rays Restaurant & Hotel
279,Banjarmasin,ID,89.74,overcast clouds,-3.3244,114.591,Hotel Grand Mentari
283,Ewa Beach,US,75.15,broken clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
285,Sangin,AF,77.86,clear sky,32.0728,64.8359,No hotel found
292,Ormara,PK,78.6,clear sky,25.2088,64.6357,No hotel found
293,Huarmey,PE,77.68,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
294,Wagar,SD,80.58,scattered clouds,16.1525,36.2032,No hotel found
295,Marzuq,YE,76.96,broken clouds,14.4,46.4667,No hotel found
298,Sechura,PE,79.88,few clouds,-5.5569,-80.8222,Hospedaje Claritza
302,Kidal,ML,74.44,broken clouds,18.4411,1.4078,No hotel found
311,Maicao,CO,78.15,overcast clouds,11.3832,-72.2432,Hotel Las Dunas
312,Singkawang,ID,87.13,broken clouds,0.9,109.0,OYO 3098 Hotel Sahabat Baru
313,Salalah,OM,84.29,broken clouds,17.0151,54.0924,Muscat International Hotel
314,Black River,JM,71.83,clear sky,18.0264,-77.8487,No hotel found
315,Iaciara,BR,70.07,overcast clouds,-14.0958,-46.6317,No hotel found
319,Waw,SS,88.36,broken clouds,7.7029,27.9953,Safari Park Hotel
321,Upata,VE,73.18,overcast clouds,8.0086,-62.3989,Hotel Garibardi
322,Nokaneng,BW,70.97,scattered clouds,-19.6667,22.2667,No hotel found
324,Hualmay,PE,76.57,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
331,Quatre Cocos,MU,85.08,scattered clouds,-20.2078,57.7625,Horisun
332,Ternate,ID,82.45,overcast clouds,0.8,127.4,Boulivard ternate
339,Guane,CU,70.95,scattered clouds,22.2025,-84.0875,No hotel found
342,Hurghada,EG,71.64,clear sky,27.2574,33.8129,Sea Horse Hotel
344,Senanga,ZM,70.45,broken clouds,-16.1167,23.2667,Senanga Safari Lodge
345,Caravelas,BR,73.65,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
346,Mana,GF,74.84,scattered clouds,5.6592,-53.7767,Le Samana
347,Bartica,GY,73.72,overcast clouds,6.4,-58.6167,Rockville Hotel
348,Seydi,TM,78.64,scattered clouds,39.4816,62.9137,No hotel found
350,Toma,BF,83.44,light rain,12.7667,-2.8833,No hotel found
355,Utete,TZ,78.78,light rain,-7.986,38.758,No hotel found
356,Nabire,ID,85.64,overcast clouds,-3.3667,135.4833,Hotel Anggrek
360,Tzucacab,MX,70.59,clear sky,20.0667,-89.05,No hotel found
363,Zemio,CF,82.99,broken clouds,5.0314,25.1361,No hotel found
364,Tuljapur,IN,84.63,overcast clouds,18.0,76.0833,No hotel found
367,Crestview,US,74.48,light intensity drizzle,30.7621,-86.5705,Country Inn & Suites
